,school,school,sex,sex,age,age,address,address,famsize,famsize,Pstatus,Pstatus,Medu,Medu,Fedu,Fedu,Mjob,Mjob,Fjob,Fjob,reason,reason,guardian,guardian,traveltime,traveltime,studytime,studytime,failures,failures,schoolsup,schoolsup,famsup,famsup,paid,paid,activities,activities,nursery,nursery,higher,higher,internet,internet,romantic,romantic,famrel,famrel,freetime,freetime,goout,goout,Dalc,Dalc,Walc,Walc,health,health,absences,absences,G1,G1,G2,G2,G3,G3
9,GP,GP,F,F,15,15,U,U,GT3,GT3,A,A,3,3,3,3,other,other,health,health,reputation,reputation,father,father,1,1,4,4,0,0,yes,True,no,False,no,False,no,False,yes,True,yes,True,no,False,no,False,4,4,3,3,3,3,1,1,1,1,4,4,10,10,10,10,11,11,11,11
10,GP,GP,F,F,15,15,U,U,GT3,GT3,A,A,4,4,3,3,services,services,services,services,reputation,reputation,mother,mother,1,1,2,2,0,0,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,no,False,4,4,3,3,2,2,1,1,1,1,1,1,0,0,14,14,15,15,15,15
11,GP,GP,F,F,15,15,U,U,GT3,GT3,T,T,1,1,1,1,at_home,at_home,other,other,course,course,mother,mother,3,3,1,1,0,0,no,False,yes,True,no,False,yes,True,no,False,yes,True,yes,True,yes,True,4,4,3,3,3,3,1,1,2,2,4,4,0,0,8,8,0,0,0,0
12,GP,GP,F,F,15,15,U,U,GT3,GT3,T,T,1,1,1,1,other,other,other,other,home,home,father,father,1,1,2,2,0,0,no,False,yes,True,no,False,yes,True,no,False,yes,True,yes,True,no,False,4,4,3,3,2,2,2,2,3,3,4,4,2,2,9,9,10,10,10,10
13,GP,GP,F,F,15,15,U,U,GT3,GT3,T,T,1,1,1,1,other,other,services,services,course,course,father,father,1,1,2,2,0,0,no,False,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,no,False,4,4,4,4,2,2,1,1,2,2,5,5,0,0,8,8,11,11,11,11
14,GP,GP,F,F,15,15,U,U,GT3,GT3,T,T,1,1,2,2,at_home,at_home,other,other,course,course,mother,mother,1,1,2,2,0,0,no,False,yes,True,yes,True,no,False,no,False,yes,True,yes,True,no,False,4,4,3,3,2,2,1,1,1,1,5,5,2,2,10,10,11,11,11,11
15,GP,GP,F,F,15,15,U,U,GT3,GT3,T,T,1,1,2,2,at_home,at_home,services,services,course,course,mother,mother,1,1,2,2,0,0,no,False,no,False,no,False,no,False,no,False,yes,True,yes,True,no,False,3,3,2,2,3,3,1,1,2,2,1,1,2,2,16,16,15,15,15,15
16,GP,GP,F,F,15,15,U,U,GT3,GT3,T,T,2,2,1,1,services,services,other,other,reputation,reputation,father,father,3,3,3,3,0,0,no,False,yes,True,no,False,yes,True,yes,True,yes,True,yes,True,no,False,5,5,2,2,2,2,1,1,1,1,4,4,4,4,10,10,12,12,12,12
17,GP,GP,F,F,15,15,U,U,GT3,GT3,T,T,2,2,2,2,other,other,other,other,course,course,mother,mother,1,1,4,4,0,0,yes,True,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,no,False,5,5,1,1,2,2,1,1,1,1,3,3,8,8,7,7,8,8,8,8
18,GP,GP,F,F,15,15,U,U,GT3,GT3,T,T,2,2,3,3,other,other,other,other,other,other,father,father,2,2,1,1,0,0,no,False,yes,True,no,False,yes,True,yes,True,yes,True,no,False,no,False,3,3,5,5,1,1,1,1,1,1,5,5,0,0,8,8,7,7,6,6
19,GP,GP,F,F,15,15,U,U,GT3,GT3,T,T,3,3,2,2,health,health,services,services,home,home,father,father,1,1,2,2,3,3,no,False,yes,True,no,False,no,False,yes,True,yes,True,yes,True,no,False,3,3,3,3,2,2,1,1,1,1,3,3,0,0,6,6,7,7,0,0
20,GP,GP,F,F,15,15,U,U,GT3,GT3,T,T,3,3,2,2,services,services,other,other,home,home,mother,mother,2,2,2,2,0,0,yes,True,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,no,False,4,4,3,3,5,5,1,1,1,1,2,2,26,26,7,7,6,6,6,6
21,GP,GP,F,F,15,15,U,U,GT3,GT3,T,T,4,4,2,2,health,health,services,services,home,home,mother,mother,1,1,3,3,0,0,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,3,3,2,2,2,2,1,1,1,1,5,5,2,2,15,15,14,14,15,15
22,GP,GP,F,F,15,15,U,U,GT3,GT3,T,T,4,4,2,2,other,other,other,other,reputation,reputation,mother,mother,1,1,3,3,0,0,no,False,yes,True,no,False,yes,True,yes,True,yes,True,yes,True,no,False,5,5,3,3,3,3,1,1,3,3,1,1,4,4,13,13,14,14,14,14
23,GP,GP,F,F,15,15,U,U,GT3,GT3,T,T,4,4,3,3,services,services,other,other,reputation,reputation,mother,mother,1,1,1,1,0,0,no,False,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,no,False,4,4,5,5,5,5,1,1,3,3,1,1,4,4,16,16,17,17,18,18
24,GP,GP,F,F,15,15,U,U,GT3,GT3,T,T,4,4,4,4,services,services,at_home,at_home,course,course,mother,mother,1,1,3,3,0,0,no,False,yes,True,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,4,4,3,3,3,3,1,1,1,1,5,5,0,0,11,11,0,0,0,0
25,GP,GP,F,F,15,15,U,U,GT3,GT3,T,T,4,4,4,4,services,services,services,services,course,course,mother,mother,1,1,1,1,0,0,yes,True,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,no,False,3,3,3,3,4,4,2,2,3,3,5,5,0,0,8,8,10,10,11,11
26,GP,GP,F,F,15,15,U,U,GT3,GT3,T,T,4,4,4,4,services,services,services,services,reputation,reputation,father,father,2,2,2,2,2,2,no,False,no,False,yes,True,no,False,yes,True,yes,True,yes,True,yes,True,4,4,4,4,4,4,2,2,3,3,5,5,6,6,7,7,9,9,8,8
27,GP,GP,F,F,15,15,U,U,GT3,GT3,T,T,4,4,4,4,services,services,teacher,teacher,other,other,father,father,1,1,2,2,1,1,yes,True,yes,True,no,False,yes,True,no,False,yes,True,yes,True,no,False,4,4,4,4,4,4,1,1,1,1,3,3,2,2,7,7,7,7,7,7
28,GP,GP,F,F,15,15,U,U,GT3,GT3,T,T,4,4,4,4,teacher,teacher,health,health,reputation,reputation,mother,mother,1,1,2,2,0,0,no,False,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,no,False,3,3,3,3,3,3,1,1,2,2,2,2,0,0,10,10,8,8,9,9
29,GP,GP,F,F,15,15,U,U,GT3,GT3,T,T,4,4,4,4,teacher,teacher,services,services,course,course,mother,mother,1,1,3,3,0,0,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,no,False,4,4,2,2,2,2,1,1,1,1,5,5,2,2,9,9,11,11,11,11
30,GP,GP,F,F,15,15,U,U,GT3,GT3,T,T,4,4,4,4,teacher,teacher,teacher,teacher,course,course,mother,mother,2,2,1,1,0,0,no,False,no,False,no,False,yes,True,yes,True,yes,True,yes,True,no,False,4,4,3,3,2,2,1,1,1,1,5,5,0,0,16,16,16,16,15,15
31,GP,GP,F,F,15,15,U,U,LE3,LE3,A,A,3,3,3,3,other,other,other,other,other,other,mother,mother,1,1,1,1,0,0,no,False,no,False,yes,True,no,False,yes,True,yes,True,yes,True,no,False,5,5,3,3,4,4,4,4,4,4,1,1,6,6,10,10,13,13,13,13
32,GP,GP,F,F,15,15,U,U,LE3,LE3,A,A,3,3,4,4,other,other,other,other,home,home,mother,mother,1,1,2,2,0,0,yes,True,no,False,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,5,5,3,3,2,2,1,1,1,1,1,1,0,0,7,7,10,10,11,11
33,GP,GP,F,F,15,15,U,U,LE3,LE3,A,A,4,4,3,3,other,other,other,other,course,course,mother,mother,1,1,2,2,0,0,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,5,5,2,2,2,2,1,1,1,1,5,5,8,8,8,8,8,8,6,6
34,GP,GP,F,F,15,15,U,U,LE3,LE3,T,T,1,1,1,1,at_home,at_home,other,other,other,other,mother,mother,1,1,2,2,3,3,yes,True,no,False,yes,True,no,False,yes,True,yes,True,yes,True,no,False,4,4,3,3,2,2,2,2,3,3,3,3,10,10,7,7,8,8,10,10
35,GP,GP,F,F,15,15,U,U,LE3,LE3,T,T,3,3,2,2,services,services,other,other,reputation,reputation,mother,mother,1,1,2,2,0,0,no,False,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,no,False,4,4,4,4,4,4,1,1,1,1,5,5,10,10,7,7,6,6,6,6
36,GP,GP,F,F,15,15,U,U,LE3,LE3,T,T,4,4,2,2,health,health,other,other,other,other,mother,mother,1,1,2,2,0,0,no,False,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,no,False,4,4,3,3,3,3,1,1,1,1,5,5,2,2,11,11,13,13,13,13
37,GP,GP,F,F,15,15,U,U,LE3,LE3,T,T,4,4,3,3,services,services,services,services,reputation,reputation,father,father,1,1,2,2,0,0,yes,True,no,False,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,4,4,4,4,4,4,2,2,4,4,2,2,0,0,10,10,10,10,10,10
38,GP,GP,F,F,16,16,R,R,GT3,GT3,T,T,2,2,2,2,services,services,services,services,reputation,reputation,mother,mother,2,2,4,4,0,0,no,False,yes,True,yes,True,yes,True,no,False,yes,True,yes,True,no,False,5,5,3,3,5,5,1,1,1,1,5,5,6,6,10,10,10,10,11,11
39,GP,GP,F,F,16,16,R,R,GT3,GT3,T,T,3,3,3,3,services,services,other,other,reputation,reputation,father,father,1,1,3,3,1,1,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,yes,True,no,False,4,4,1,1,2,2,1,1,1,1,2,2,0,0,7,7,10,10,10,10
40,GP,GP,F,F,16,16,R,R,GT3,GT3,T,T,4,4,4,4,health,health,teacher,teacher,other,other,mother,mother,1,1,2,2,0,0,no,False,yes,True,no,False,yes,True,yes,True,yes,True,no,False,no,False,2,2,4,4,4,4,2,2,3,3,4,4,6,6,10,10,11,11,11,11
41,GP,GP,F,F,16,16,U,U,GT3,GT3,A,A,2,2,1,1,other,other,other,other,other,other,mother,mother,1,1,2,2,0,0,no,False,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,5,5,3,3,4,4,1,1,1,1,2,2,8,8,8,8,9,9,10,10
42,GP,GP,F,F,16,16,U,U,GT3,GT3,A,A,2,2,2,2,other,other,other,other,reputation,reputation,mother,mother,1,1,2,2,0,0,yes,True,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,no,False,3,3,3,3,4,4,1,1,1,1,4,4,0,0,12,12,13,13,14,14
43,GP,GP,F,F,16,16,U,U,GT3,GT3,A,A,3,3,1,1,services,services,other,other,course,course,mother,mother,1,1,2,2,3,3,no,False,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,no,False,2,2,3,3,3,3,2,2,2,2,4,4,5,5,7,7,7,7,7,7
44,GP,GP,F,F,16,16,U,U,GT3,GT3,A,A,3,3,3,3,other,other,other,other,course,course,other,other,2,2,1,1,2,2,no,False,yes,True,no,False,yes,True,no,False,yes,True,yes,True,yes,True,4,4,3,3,2,2,1,1,1,1,5,5,0,0,4,4,0,0,0,0
45,GP,GP,F,F,16,16,U,U,GT3,GT3,A,A,3,3,4,4,services,services,other,other,course,course,father,father,1,1,1,1,0,0,no,False,no,False,no,False,no,False,yes,True,yes,True,yes,True,no,False,3,3,2,2,1,1,1,1,4,4,5,5,16,16,12,12,11,11,11,11
46,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,1,1,1,1,at_home,at_home,other,other,home,home,mother,mother,2,2,1,1,0,0,no,False,yes,True,yes,True,no,False,yes,True,yes,True,no,False,no,False,4,4,3,3,2,2,1,1,4,4,5,5,6,6,9,9,9,9,10,10
47,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,1,1,1,1,services,services,services,services,course,course,father,father,4,4,1,1,0,0,yes,True,yes,True,no,False,yes,True,no,False,yes,True,yes,True,yes,True,5,5,5,5,5,5,5,5,5,5,5,5,6,6,10,10,8,8,11,11
48,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,1,1,3,3,at_home,at_home,services,services,home,home,mother,mother,1,1,2,2,3,3,no,False,no,False,no,False,yes,True,no,False,yes,True,yes,True,yes,True,4,4,3,3,5,5,1,1,1,1,3,3,0,0,8,8,7,7,0,0
49,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,2,2,1,1,other,other,other,other,course,course,mother,mother,1,1,2,2,0,0,no,False,yes,True,yes,True,no,False,yes,True,yes,True,no,False,yes,True,4,4,3,3,5,5,1,1,1,1,5,5,2,2,8,8,9,9,10,10
50,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,2,2,1,1,other,other,other,other,home,home,mother,mother,1,1,1,1,0,0,no,False,no,False,no,False,no,False,yes,True,yes,True,yes,True,yes,True,4,4,5,5,2,2,1,1,1,1,5,5,20,20,13,13,12,12,12,12
51,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,2,2,2,2,at_home,at_home,other,other,home,home,mother,mother,1,1,2,2,1,1,yes,True,no,False,no,False,yes,True,yes,True,yes,True,yes,True,no,False,3,3,1,1,2,2,1,1,1,1,5,5,6,6,10,10,13,13,13,13
52,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,2,2,2,2,other,other,other,other,home,home,mother,mother,1,1,2,2,0,0,no,False,no,False,yes,True,no,False,yes,True,yes,True,yes,True,yes,True,5,5,4,4,4,4,1,1,1,1,5,5,0,0,8,8,7,7,8,8
53,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,2,2,2,2,other,other,other,other,home,home,mother,mother,1,1,2,2,0,0,no,False,yes,True,yes,True,no,False,no,False,yes,True,yes,True,no,False,5,5,1,1,5,5,1,1,1,1,4,4,0,0,6,6,7,7,0,0
54,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,2,2,2,2,other,other,other,other,reputation,reputation,mother,mother,1,1,4,4,0,0,no,False,no,False,yes,True,no,False,yes,True,yes,True,yes,True,yes,True,5,5,2,2,3,3,1,1,3,3,3,3,0,0,11,11,11,11,11,11
55,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,2,2,2,2,services,services,other,other,reputation,reputation,mother,mother,2,2,2,2,0,0,no,False,no,False,yes,True,yes,True,no,False,yes,True,yes,True,no,False,3,3,4,4,4,4,1,1,4,4,5,5,2,2,13,13,13,13,11,11
56,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,2,2,2,2,services,services,services,services,home,home,mother,mother,1,1,1,1,2,2,no,False,yes,True,yes,True,no,False,no,False,yes,True,yes,True,no,False,1,1,2,2,2,2,1,1,3,3,5,5,14,14,6,6,9,9,8,8
57,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,2,2,3,3,other,other,other,other,reputation,reputation,mother,mother,1,1,2,2,0,0,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,no,False,no,False,4,4,4,4,3,3,1,1,3,3,4,4,6,6,8,8,10,10,10,10
58,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,2,2,3,3,services,services,services,services,course,course,mother,mother,1,1,2,2,0,0,no,False,no,False,no,False,no,False,yes,True,yes,True,yes,True,no,False,4,4,3,3,3,3,1,1,1,1,2,2,10,10,11,11,12,12,13,13
59,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,2,2,3,3,services,services,teacher,teacher,other,other,mother,mother,1,1,2,2,0,0,yes,True,no,False,no,False,no,False,yes,True,yes,True,yes,True,no,False,2,2,3,3,1,1,1,1,1,1,3,3,2,2,16,16,16,16,17,17
60,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,3,3,1,1,services,services,other,other,course,course,mother,mother,1,1,4,4,0,0,yes,True,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,no,False,4,4,3,3,3,3,1,1,2,2,5,5,4,4,7,7,7,7,6,6
61,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,3,3,2,2,other,other,other,other,reputation,reputation,mother,mother,1,1,2,2,0,0,no,False,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,no,False,1,1,2,2,2,2,1,1,2,2,1,1,14,14,12,12,13,13,12,12
62,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,3,3,3,3,other,other,other,other,home,home,father,father,1,1,2,2,0,0,no,False,yes,True,yes,True,no,False,yes,True,yes,True,no,False,no,False,4,4,3,3,2,2,1,1,2,2,5,5,4,4,6,6,10,10,10,10
63,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,3,3,3,3,other,other,other,other,home,home,mother,mother,1,1,3,3,0,0,no,False,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,yes,True,4,4,3,3,3,3,1,1,3,3,4,4,0,0,7,7,7,7,8,8
64,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,3,3,3,3,other,other,other,other,reputation,reputation,mother,mother,3,3,2,2,0,0,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,no,False,no,False,5,5,3,3,2,2,1,1,1,1,4,4,4,4,8,8,10,10,10,10
65,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,3,3,3,3,other,other,services,services,home,home,mother,mother,1,1,2,2,0,0,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,no,False,4,4,3,3,3,3,2,2,4,4,5,5,54,54,11,11,12,12,11,11
66,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,3,3,4,4,at_home,at_home,other,other,course,course,mother,mother,1,1,2,2,0,0,no,False,yes,True,no,False,no,False,yes,True,yes,True,yes,True,no,False,2,2,4,4,3,3,1,1,2,2,3,3,12,12,5,5,5,5,5,5
67,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,4,4,2,2,health,health,services,services,home,home,father,father,1,1,2,2,0,0,no,False,no,False,yes,True,no,False,yes,True,yes,True,yes,True,yes,True,4,4,2,2,3,3,1,1,1,1,3,3,0,0,14,14,15,15,16,16
68,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,4,4,2,2,services,services,other,other,course,course,mother,mother,1,1,2,2,0,0,no,False,yes,True,no,False,no,False,yes,True,yes,True,yes,True,no,False,4,4,2,2,3,3,1,1,1,1,5,5,2,2,15,15,16,16,16,16
69,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,4,4,2,2,teacher,teacher,services,services,home,home,mother,mother,2,2,2,2,0,0,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,no,False,5,5,3,3,3,3,1,1,1,1,1,1,0,0,11,11,10,10,10,10
70,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,4,4,3,3,health,health,other,other,home,home,mother,mother,1,1,2,2,0,0,no,False,yes,True,no,False,yes,True,yes,True,yes,True,yes,True,no,False,4,4,3,3,5,5,1,1,5,5,2,2,2,2,16,16,16,16,16,16
71,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,4,4,3,3,other,other,at_home,at_home,course,course,mother,mother,1,1,3,3,0,0,yes,True,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,no,False,5,5,3,3,5,5,1,1,1,1,3,3,0,0,7,7,9,9,8,8
72,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,4,4,3,3,teacher,teacher,health,health,home,home,mother,mother,1,1,3,3,0,0,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,no,False,3,3,4,4,4,4,2,2,4,4,4,4,2,2,10,10,9,9,9,9
73,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,4,4,3,3,teacher,teacher,other,other,other,other,mother,mother,1,1,2,2,0,0,no,False,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,1,1,3,3,2,2,1,1,1,1,1,1,10,10,11,11,12,12,13,13
74,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,4,4,4,4,health,health,health,health,reputation,reputation,mother,mother,1,1,2,2,0,0,no,False,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,yes,True,4,4,4,4,2,2,1,1,1,1,3,3,0,0,14,14,14,14,14,14
75,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,4,4,4,4,health,health,other,other,home,home,mother,mother,1,1,1,1,0,0,no,False,yes,True,no,False,no,False,yes,True,yes,True,yes,True,no,False,4,4,4,4,4,4,1,1,2,2,2,2,4,4,14,14,14,14,14,14
76,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,4,4,4,4,other,other,other,other,reputation,reputation,mother,mother,1,1,1,1,0,0,no,False,no,False,no,False,yes,True,no,False,yes,True,yes,True,no,False,5,5,3,3,4,4,1,1,2,2,1,1,6,6,11,11,14,14,14,14
77,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,4,4,4,4,services,services,services,services,reputation,reputation,mother,mother,1,1,3,3,0,0,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,no,False,3,3,2,2,3,3,1,1,2,2,2,2,6,6,13,13,14,14,14,14
78,GP,GP,F,F,16,16,U,U,GT3,GT3,T,T,4,4,4,4,teacher,teacher,services,services,home,home,mother,mother,1,1,3,3,0,0,no,False,yes,True,no,False,yes,True,no,False,yes,True,yes,True,no,False,5,5,3,3,2,2,1,1,1,1,5,5,0,0,13,13,13,13,14,14
79,GP,GP,F,F,16,16,U,U,LE3,LE3,A,A,3,3,3,3,other,other,services,services,home,home,mother,mother,1,1,2,2,0,0,no,False,yes,True,no,False,no,False,yes,True,yes,True,yes,True,no,False,2,2,3,3,5,5,1,1,4,4,3,3,12,12,11,11,12,12,11,11
80,GP,GP,F,F,16,16,U,U,LE3,LE3,T,T,1,1,1,1,at_home,at_home,at_home,at_home,course,course,mother,mother,1,1,1,1,0,0,no,False,no,False,no,False,no,False,yes,True,yes,True,yes,True,no,False,3,3,4,4,4,4,3,3,3,3,1,1,2,2,14,14,14,14,13,13
81,GP,GP,F,F,16,16,U,U,LE3,LE3,T,T,1,1,2,2,other,other,services,services,reputation,reputation,father,father,1,1,2,2,0,0,yes,True,no,False,no,False,yes,True,yes,True,yes,True,yes,True,no,False,4,4,4,4,3,3,1,1,1,1,1,1,4,4,8,8,10,10,9,9
82,GP,GP,F,F,16,16,U,U,LE3,LE3,T,T,2,2,2,2,at_home,at_home,other,other,course,course,mother,mother,1,1,2,2,0,0,no,False,yes,True,no,False,no,False,yes,True,yes,True,no,False,no,False,4,4,3,3,4,4,1,1,2,2,2,2,4,4,8,8,7,7,6,6
83,GP,GP,F,F,16,16,U,U,LE3,LE3,T,T,2,2,2,2,other,other,at_home,at_home,course,course,father,father,2,2,2,2,1,1,yes,True,no,False,no,False,yes,True,yes,True,yes,True,yes,True,no,False,4,4,3,3,3,3,2,2,2,2,5,5,14,14,10,10,10,10,9,9
84,GP,GP,F,F,16,16,U,U,LE3,LE3,T,T,2,2,2,2,other,other,other,other,home,home,mother,mother,2,2,2,2,1,1,no,False,yes,True,no,False,yes,True,no,False,yes,True,yes,True,yes,True,3,3,3,3,3,3,1,1,2,2,3,3,25,25,7,7,10,10,11,11
85,GP,GP,F,F,16,16,U,U,LE3,LE3,T,T,2,2,2,2,services,services,services,services,course,course,mother,mother,3,3,2,2,0,0,no,False,yes,True,yes,True,no,False,yes,True,yes,True,yes,True,no,False,4,4,3,3,3,3,2,2,3,3,4,4,2,2,12,12,13,13,13,13
86,GP,GP,F,F,16,16,U,U,LE3,LE3,T,T,2,2,4,4,other,other,health,health,course,course,father,father,2,2,2,2,0,0,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,4,4,2,2,2,2,1,1,2,2,5,5,2,2,13,13,13,13,13,13
87,GP,GP,F,F,16,16,U,U,LE3,LE3,T,T,3,3,1,1,other,other,other,other,home,home,father,father,1,1,2,2,0,0,yes,True,yes,True,no,False,no,False,yes,True,yes,True,no,False,no,False,3,3,3,3,3,3,2,2,3,3,2,2,4,4,7,7,6,6,6,6
88,GP,GP,F,F,16,16,U,U,LE3,LE3,T,T,3,3,3,3,other,other,other,other,reputation,reputation,mother,mother,2,2,2,2,0,0,no,False,yes,True,yes,True,yes,True,yes,True,yes,True,yes,True,no,False,4,4,4,4,5,5,1,1,1,1,4,4,4,4,10,10,11,11,9,9
